ProductID,ProductName,Category,SubCategory,Brand,MRP
149,Officia,Electronics,Standard,Samsung,33118
150,Nam,Fashion,Premium,Nike,70477
151,Dolores,Fashion,Premium,Nike,18758
152,Enim,Beauty,Premium,Apple,58877
153,Ullam,Electronics,Budget,Nike,21287
154,Vel,Sports,Premium,Apple,69344
155,Eveniet,Electronics,Standard,Tata,54031
156,Quo,Electronics,Premium,Puma,22393
157,Occaecati,Grocery,Premium,Puma,62554
158,In,Beauty,Premium,Nike,45218
159,Adipisci,Fashion,Budget,Apple,42021
160,Cupiditate,Sports,Budget,Apple,3216
161,Voluptates,Home & Kitchen,Standard,Samsung,48593
162,Quidem,Sports,Standard,Tata,59094
163,Natus,Electronics,Premium,Tata,29072
164,Ullam,Sports,Budget,Tata,27642
165,Possimus,Sports,Budget,Reliance,15200
166,Dolorem,Home & Kitchen,Budget,Nike,39984
167,Suscipit,Home & Kitchen,Standard,Apple,22737
168,Facilis,Fashion,Premium,Local,58413
169,Officiis,Beauty,Premium,Reliance,7840
170,Ratione,Grocery,Budget,Puma,53715
171,Consectetur,Beauty,Premium,Local,42742
172,Reprehenderit,Home & Kitchen,Standard,Tata,70253
173,Voluptatum,Beauty,Standard,Puma,47496
174,Necessitatibus,Sports,Budget,Apple,10645
175,Animi,Grocery,Standard,Puma,61114
176,Dolore,Grocery,Premium,Apple,16285
177,Similique,Grocery,Premium,Local,11040
178,Eligendi,Home & Kitchen,Premium,Local,56863
179,Repellat,Beauty,Budget,Tata,38553
180,Ipsum,Fashion,Premium,Apple,16761
181,Voluptas,Grocery,Budget,Puma,36788
182,Aliquam,Fashion,Premium,Tata,28828
183,Omnis,Fashion,Standard,Nike,63776
184,Quia,Home & Kitchen,Premium,Reliance,42920
185,Minima,Grocery,Premium,Samsung,67618
186,Nobis,Home & Kitchen,Premium,Samsung,45793
187,Non,Home & Kitchen,Standard,Reliance,29176
188,Ullam,Beauty,Premium,Reliance,45686
189,Accusamus,Home & Kitchen,Premium,Puma,40814
190,Rem,Beauty,Premium,Reliance,29664
191,Eum,Beauty,Premium,Apple,17976
192,Error,Grocery,Premium,Samsung,65857
193,Officia,Sports,Budget,Nike,58915
194,Natus,Fashion,Standard,Nike,34313
195,Nobis,Grocery,Standard,Samsung,4542
196,Nihil,Sports,Standard,Samsung,36144
197,Blanditiis,Sports,Budget,Apple,53062
198,Et,Beauty,Premium,Samsung,75439
199,Illo,Electronics,Premium,Local,69119
200,Accusantium,Fashion,Standard,Local,75825
201,Sit,Fashion,Standard,Samsung,43215
202,Libero,Electronics,Premium,Local,20114
203,Possimus,Grocery,Budget,Samsung,27164
204,Quisquam,Electronics,Standard,Tata,11736
205,Minima,Electronics,Budget,Samsung,15005
206,Quis,Grocery,Standard,Tata,36288
207,Ex,Electronics,Budget,Nike,42187
208,Odio,Electronics,Budget,Tata,66940
209,Ipsam,Beauty,Standard,Puma,65211
210,Adipisci,Home & Kitchen,Premium,Local,4362
211,Impedit,Grocery,Standard,Nike,37505
212,Deserunt,Sports,Standard,Samsung,52989
213,Occaecati,Beauty,Standard,Local,66314
214,Aspernatur,Grocery,Premium,Puma,35552
215,Assumenda,Sports,Standard,Local,73610
216,Odio,Electronics,Budget,Reliance,22620
217,Deserunt,Beauty,Premium,Local,54201
218,Tempore,Sports,Premium,Apple,72248
219,Fugiat,Sports,Standard,Samsung,34192
220,Nihil,Sports,Budget,Puma,67203
221,Exercitationem,Sports,Budget,Puma,18364
222,Explicabo,Fashion,Budget,Reliance,36354
223,Perspiciatis,Sports,Budget,Puma,62220
224,Facere,Fashion,Budget,Reliance,18648
225,Reprehenderit,Electronics,Budget,Puma,56878
226,Quidem,Sports,Standard,Reliance,55473
227,Suscipit,Fashion,Premium,Reliance,53143
228,Excepturi,Electronics,Standard,Puma,6368
229,Voluptatem,Home & Kitchen,Standard,Nike,39915
230,Tempore,Beauty,Standard,Nike,2772
231,Officiis,Sports,Premium,Samsung,22421
232,Eum,Grocery,Budget,Apple,25705
233,Minima,Sports,Standard,Reliance,69708
234,Reiciendis,Sports,Standard,Reliance,13766
235,Possimus,Home & Kitchen,Premium,Puma,58954
236,Impedit,Electronics,Premium,Apple,7267
237,Quas,Sports,Budget,Reliance,9543
238,Dolores,Fashion,Standard,Samsung,50622
239,Sit,Grocery,Premium,Puma,17886
240,Eius,Beauty,Premium,Nike,38404
241,Aut,Electronics,Premium,Puma,16974
242,Voluptatem,Beauty,Standard,Apple,36055
243,Laudantium,Grocery,Budget,Reliance,42108
244,Ratione,Beauty,Budget,Tata,2450
245,Nam,Sports,Standard,Nike,64237
246,Aperiam,Fashion,Standard,Local,42687
247,At,Grocery,Standard,Samsung,46028
248,Doloremque,Grocery,Standard,Reliance,23650
249,Debitis,Electronics,Standard,Samsung,76548
250,Minima,Home & Kitchen,Standard,Reliance,45015
251,Impedit,Fashion,Premium,Tata,60038
252,Ullam,Electronics,Standard,Apple,49702
253,Incidunt,Grocery,Premium,Apple,59750
254,Laborum,Fashion,Standard,Apple,6361
255,Cumque,Grocery,Standard,Local,77570
256,Incidunt,Grocery,Premium,Reliance,27830
257,Dignissimos,Electronics,Standard,Reliance,56975
258,Perferendis,Fashion,Premium,Samsung,54816
259,Inventore,Beauty,Standard,Apple,23020
260,Inventore,Grocery,Budget,Tata,73368
261,Aperiam,Grocery,Budget,Local,24992
262,Qui,Sports,Premium,Nike,32857
263,Nisi,Electronics,Premium,Reliance,33286
264,Id,Beauty,Premium,Reliance,37486
265,Suscipit,Fashion,Premium,Reliance,19812
266,Non,Beauty,Standard,Reliance,2224
267,Velit,Fashion,Budget,Reliance,41345
268,Quia,Fashion,Budget,Local,6480
269,Repudiandae,Beauty,Standard,Apple,48868
270,Repellat,Electronics,Standard,Samsung,63211
271,Tempora,Beauty,Premium,Samsung,1855
272,Corporis,Electronics,Standard,Local,14850
273,Alias,Electronics,Premium,Samsung,11216
274,Illum,Beauty,Premium,Nike,45816
275,Nobis,Grocery,Budget,Reliance,352
276,Laudantium,Home & Kitchen,Premium,Samsung,38300
277,Officia,Electronics,Premium,Local,40214
278,Aliquam,Electronics,Premium,Tata,25560
279,Sequi,Fashion,Premium,Apple,72599
280,Ullam,Grocery,Standard,Nike,54881
281,Fugiat,Fashion,Standard,Apple,51971
282,Voluptatum,Beauty,Premium,Puma,76825
283,Aliquid,Grocery,Standard,Apple,30639
284,Repellat,Beauty,Budget,Apple,8397
285,Quas,Beauty,Budget,Apple,22701
286,Quod,Grocery,Standard,Nike,34756
287,Laudantium,Beauty,Budget,Nike,61721
288,Dolore,Beauty,Budget,Nike,21725
289,Enim,Sports,Budget,Reliance,27416
290,Provident,Sports,Standard,Local,25624
291,Quae,Home & Kitchen,Standard,Reliance,23209
292,Maxime,Grocery,Budget,Samsung,70963
293,Optio,Home & Kitchen,Standard,Apple,74472
294,Dolores,Beauty,Premium,Tata,30290
295,Eveniet,Grocery,Premium,Samsung,69116
296,Amet,Home & Kitchen,Budget,Local,16365
297,Ab,Sports,Standard,Local,47543
298,Maiores,Electronics,Premium,Reliance,6929
299,Repellendus,Sports,Standard,Local,28473
300,Quam,Sports,Premium,Samsung,33655
301,Hic,Grocery,Standard,Apple,28227
302,Quisquam,Beauty,Premium,Local,25571
303,Recusandae,Beauty,Standard,Reliance,12959
304,Tempore,Sports,Standard,Puma,33534
305,Ducimus,Grocery,Premium,Apple,7781
306,Necessitatibus,Grocery,Premium,Nike,57572
307,Eos,Sports,Budget,Apple,21157
308,Tenetur,Electronics,Standard,Local,21126
309,Enim,Sports,Premium,Local,23421
310,Necessitatibus,Home & Kitchen,Budget,Reliance,38630
311,Ullam,Beauty,Standard,Samsung,59075
312,Optio,Sports,Premium,Reliance,51410
313,Aperiam,Home & Kitchen,Premium,Tata,66784
314,Porro,Electronics,Budget,Reliance,76483
315,Minus,Beauty,Budget,Samsung,35198
316,Vitae,Sports,Standard,Tata,8228
317,Ipsam,Grocery,Standard,Local,28663
318,Magnam,Beauty,Budget,Tata,7229
319,Iusto,Beauty,Premium,Samsung,9060
320,Fuga,Fashion,Budget,Samsung,79961
321,Velit,Sports,Standard,Samsung,58941
322,Nam,Sports,Premium,Reliance,46933
323,Totam,Fashion,Premium,Reliance,33297
324,Commodi,Electronics,Standard,Reliance,68791
325,Rerum,Fashion,Budget,Reliance,18139
326,Beatae,Grocery,Premium,Samsung,49130
327,Iste,Electronics,Standard,Local,47532
328,Facere,Home & Kitchen,Budget,Reliance,64634
329,Facere,Sports,Standard,Local,31651
330,Consequuntur,Home & Kitchen,Premium,Local,41659
331,Aperiam,Sports,Standard,Samsung,41118
332,Ipsam,Beauty,Premium,Reliance,4691
333,Tempora,Beauty,Premium,Tata,45773
334,Maxime,Home & Kitchen,Standard,Nike,68438
335,Ut,Grocery,Premium,Apple,16492
336,Autem,Fashion,Standard,Puma,29184
337,Eos,Beauty,Premium,Nike,59884
338,Quasi,Sports,Standard,Samsung,21846
339,Nihil,Electronics,Premium,Reliance,34224
340,Veniam,Home & Kitchen,Budget,Puma,49564
341,Asperiores,Fashion,Premium,Puma,22503
342,Debitis,Beauty,Standard,Apple,14136
343,Qui,Grocery,Budget,Apple,22688
344,Maxime,Fashion,Budget,Reliance,21790
345,Perspiciatis,Grocery,Budget,Reliance,8023
346,Eligendi,Electronics,Budget,Nike,58240
347,Architecto,Grocery,Standard,Local,39540
348,Quasi,Sports,Premium,Local,72378
349,Porro,Home & Kitchen,Budget,Tata,56843
350,Molestias,Home & Kitchen,Budget,Reliance,46353
351,Autem,Beauty,Standard,Nike,1918
352,Nobis,Sports,Budget,Local,25605
353,Totam,Fashion,Standard,Reliance,11680
354,Aperiam,Beauty,Budget,Samsung,21157
355,Omnis,Sports,Budget,Reliance,41227
356,Accusantium,Electronics,Standard,Apple,69704
357,Odio,Sports,Premium,Local,40360
358,Illum,Beauty,Standard,Puma,48807
359,Veritatis,Grocery,Budget,Nike,36547
360,Quia,Fashion,Premium,Reliance,7355
361,Enim,Home & Kitchen,Budget,Puma,52611
362,Fuga,Home & Kitchen,Premium,Samsung,79367
363,Quaerat,Beauty,Standard,Nike,36288
364,Dicta,Fashion,Budget,Puma,66672
365,Possimus,Sports,Budget,Puma,76588
366,Repudiandae,Home & Kitchen,Budget,Local,26289
367,Autem,Home & Kitchen,Budget,Puma,69025
368,Voluptatum,Electronics,Standard,Tata,15704
369,Amet,Home & Kitchen,Standard,Tata,73484
370,In,Sports,Premium,Apple,40814
371,Numquam,Grocery,Premium,Reliance,1365
372,Aliquid,Beauty,Standard,Tata,18545
373,Dolores,Sports,Budget,Reliance,69104
374,Voluptatem,Fashion,Premium,Samsung,3193
375,Accusamus,Grocery,Budget,Puma,5550
376,Atque,Electronics,Premium,Nike,61299
377,Accusamus,Electronics,Standard,Apple,40659
378,Nemo,Electronics,Premium,Puma,48192
379,Ad,Sports,Budget,Apple,10801
380,Sapiente,Grocery,Budget,Nike,36792
381,Quis,Fashion,Budget,Apple,37977
382,Odio,Fashion,Budget,Nike,41767
383,Quo,Grocery,Budget,Reliance,74328
384,Eum,Sports,Standard,Reliance,43612
385,Omnis,Electronics,Premium,Samsung,56448
386,Dolore,Fashion,Budget,Puma,60116
387,Velit,Grocery,Standard,Samsung,8274
388,Eligendi,Home & Kitchen,Standard,Reliance,50754
389,Harum,Sports,Budget,Reliance,41458
390,Vel,Fashion,Standard,Puma,64822
391,Neque,Beauty,Premium,Samsung,49377
392,Accusantium,Electronics,Standard,Samsung,18867
393,Laborum,Sports,Budget,Nike,55028
394,Velit,Home & Kitchen,Standard,Samsung,54055
395,Repellendus,Electronics,Budget,Samsung,45765
396,Quo,Home & Kitchen,Premium,Reliance,52589
397,Quas,Fashion,Premium,Tata,42060
398,Exercitationem,Home & Kitchen,Premium,Nike,45719
399,Odit,Beauty,Premium,Apple,39006
400,Corrupti,Fashion,Standard,Tata,14381
401,Labore,Electronics,Standard,Tata,5244
402,Qui,Fashion,Budget,Puma,16625
403,Consequatur,Electronics,Premium,Samsung,30974
404,Repudiandae,Home & Kitchen,Premium,Local,71373
405,Ullam,Sports,Premium,Nike,55011
406,Velit,Beauty,Premium,Local,54553
407,Ducimus,Grocery,Premium,Samsung,66746
408,Quaerat,Home & Kitchen,Standard,Tata,61727
409,Nulla,Sports,Budget,Tata,40198
410,Sit,Fashion,Budget,Reliance,26984
411,Architecto,Sports,Premium,Reliance,39313
412,Velit,Sports,Budget,Nike,48634
413,Doloremque,Home & Kitchen,Budget,Apple,72409
414,Eaque,Fashion,Premium,Nike,75472
415,Quod,Home & Kitchen,Standard,Samsung,20994
416,Nobis,Home & Kitchen,Premium,Tata,64233
417,Quod,Beauty,Premium,Apple,31929
418,Vel,Fashion,Budget,Apple,20649
419,Velit,Beauty,Premium,Puma,64466
420,Iusto,Home & Kitchen,Premium,Samsung,76807
421,Deleniti,Home & Kitchen,Premium,Samsung,8008
422,Doloremque,Fashion,Budget,Puma,20711
423,Eum,Sports,Standard,Reliance,51897
424,Blanditiis,Beauty,Premium,Samsung,27748
425,Exercitationem,Grocery,Standard,Tata,25757
426,Quae,Beauty,Premium,Puma,69569
427,Distinctio,Home & Kitchen,Standard,Puma,44320
428,Itaque,Electronics,Premium,Apple,55616
429,Vel,Sports,Budget,Apple,39961
430,Exercitationem,Beauty,Standard,Puma,28233
431,Earum,Grocery,Budget,Apple,4718
432,Accusantium,Sports,Budget,Samsung,38839
433,Accusamus,Electronics,Premium,Puma,42768
434,Aut,Beauty,Premium,Nike,12236
435,Perspiciatis,Electronics,Budget,Nike,66327
436,Quasi,Home & Kitchen,Standard,Apple,11970
437,Fugit,Sports,Budget,Tata,41473
438,Molestiae,Sports,Premium,Reliance,12344
439,Assumenda,Home & Kitchen,Standard,Samsung,20724
440,Dolor,Grocery,Standard,Apple,50121
441,Quisquam,Fashion,Standard,Reliance,33070
442,Aliquam,Electronics,Premium,Reliance,66328
443,Nulla,Grocery,Budget,Local,48647
444,Dolor,Beauty,Premium,Reliance,56569
445,Soluta,Home & Kitchen,Standard,Apple,38468
446,Magni,Beauty,Premium,Nike,79353
447,Odio,Fashion,Budget,Nike,13254
448,Possimus,Electronics,Budget,Nike,65351
449,Repudiandae,Grocery,Budget,Reliance,64921
450,Itaque,Fashion,Standard,Tata,35126
451,Velit,Electronics,Standard,Nike,23616
452,Molestiae,Home & Kitchen,Standard,Apple,22892
453,Magni,Fashion,Standard,Samsung,37157
454,Nulla,Beauty,Standard,Apple,54924
455,Voluptates,Grocery,Premium,Reliance,43612
456,Sint,Sports,Standard,Reliance,55430
457,Amet,Grocery,Budget,Reliance,51014
458,Voluptas,Grocery,Budget,Puma,69002
459,Repudiandae,Fashion,Standard,Nike,30551
460,Ea,Fashion,Premium,Nike,10127
461,Molestias,Home & Kitchen,Budget,Puma,59844
462,Reiciendis,Fashion,Standard,Local,6615
463,Molestiae,Sports,Premium,Reliance,22842
464,Suscipit,Beauty,Budget,Puma,63557
465,Cumque,Sports,Standard,Local,19093
466,Est,Beauty,Budget,Apple,50489
467,Suscipit,Beauty,Budget,Puma,37321
468,Ad,Home & Kitchen,Premium,Puma,70259
469,Nisi,Sports,Budget,Local,11545
470,Odio,Electronics,Budget,Apple,1087
471,Ut,Grocery,Budget,Puma,74948
472,Quae,Electronics,Budget,Local,46499
473,Odio,Beauty,Premium,Reliance,11339
474,Pariatur,Fashion,Premium,Apple,929
475,Veniam,Grocery,Budget,Tata,4047
476,Animi,Home & Kitchen,Standard,Samsung,65971
477,Necessitatibus,Fashion,Standard,Samsung,29164
478,Consequuntur,Electronics,Budget,Tata,11422
479,Esse,Electronics,Budget,Tata,49608
480,Illo,Beauty,Standard,Nike,823
481,Veritatis,Home & Kitchen,Premium,Apple,67235
482,Facilis,Beauty,Budget,Reliance,25667
483,Reiciendis,Home & Kitchen,Budget,Apple,9138
484,Libero,Home & Kitchen,Budget,Puma,68517
485,Iste,Grocery,Standard,Nike,32393
486,Molestias,Sports,Standard,Apple,62661
487,Praesentium,Home & Kitchen,Budget,Samsung,5198
488,Magnam,Sports,Standard,Puma,37867
489,Sint,Sports,Premium,Tata,52460
490,Ipsam,Electronics,Premium,Puma,2868
491,Modi,Electronics,Standard,Local,63630
492,Ducimus,Electronics,Premium,Local,47654
493,Voluptatibus,Electronics,Budget,Apple,61343
494,Neque,Fashion,Budget,Apple,77732
495,Consequatur,Grocery,Budget,Tata,21512
496,Possimus,Beauty,Budget,Nike,44684
497,Placeat,Beauty,Budget,Reliance,24236
498,At,Fashion,Standard,Tata,16331
499,Magni,Beauty,Budget,Tata,66154
500,Magni,Fashion,Standard,Tata,19237
501,Voluptatum,Beauty,Premium,Local,43937
502,Architecto,Beauty,Premium,Nike,53947
503,Nisi,Grocery,Budget,Nike,64769
504,Non,Home & Kitchen,Premium,Local,67411
505,Voluptatum,Home & Kitchen,Standard,Local,57498
506,Sapiente,Fashion,Budget,Samsung,22480
507,Sapiente,Electronics,Budget,Reliance,14034
508,Sequi,Grocery,Standard,Local,23034
509,Velit,Sports,Premium,Puma,56493
510,Repudiandae,Electronics,Standard,Tata,75854
511,Mollitia,Grocery,Budget,Tata,77041
512,Accusamus,Electronics,Premium,Local,48367
513,Quia,Fashion,Budget,Nike,74036
514,Similique,Fashion,Premium,Reliance,25404
515,Itaque,Grocery,Standard,Nike,53713
516,Adipisci,Beauty,Standard,Apple,76297
517,Animi,Grocery,Budget,Reliance,79597
518,Ipsum,Fashion,Premium,Nike,32316
519,Nesciunt,Home & Kitchen,Premium,Nike,38218
520,Et,Beauty,Premium,Apple,23457
521,Ea,Electronics,Budget,Local,75199
522,Nobis,Beauty,Premium,Local,28509
523,Similique,Grocery,Standard,Reliance,8470
524,Quidem,Home & Kitchen,Budget,Reliance,41371
525,Velit,Grocery,Standard,Apple,65409
526,Voluptatum,Sports,Budget,Samsung,8717
527,Sapiente,Beauty,Premium,Nike,40605
528,Velit,Home & Kitchen,Budget,Apple,78237
529,Est,Electronics,Budget,Nike,53524
530,Occaecati,Grocery,Premium,Samsung,42851
531,Est,Electronics,Budget,Nike,8810
532,Quo,Beauty,Standard,Local,27984
533,Qui,Sports,Standard,Local,41173
534,Quaerat,Grocery,Budget,Samsung,54413
535,Incidunt,Grocery,Budget,Local,50746
536,Quidem,Grocery,Budget,Samsung,57796
537,Odit,Home & Kitchen,Premium,Apple,57609
538,Cum,Grocery,Standard,Local,7055
539,Occaecati,Sports,Budget,Samsung,74553
540,Totam,Home & Kitchen,Standard,Samsung,31620
541,Doloribus,Fashion,Standard,Samsung,47503
542,Temporibus,Grocery,Standard,Puma,17926
543,Culpa,Fashion,Premium,Reliance,42710
544,Accusamus,Electronics,Budget,Tata,8290
545,Expedita,Beauty,Premium,Nike,38740
546,Dolorem,Sports,Budget,Puma,27271
547,Beatae,Grocery,Standard,Apple,67350
548,Ipsam,Electronics,Standard,Local,64723
549,Doloremque,Fashion,Premium,Nike,67944
550,Consequuntur,Home & Kitchen,Standard,Reliance,14498
551,Nisi,Home & Kitchen,Budget,Puma,11791
552,Magni,Fashion,Standard,Puma,62756
553,Laboriosam,Electronics,Premium,Nike,36515
554,Iure,Grocery,Standard,Samsung,75112
555,Perspiciatis,Electronics,Budget,Puma,34571
556,Laudantium,Home & Kitchen,Standard,Local,51711
557,Cupiditate,Grocery,Standard,Puma,14779
558,Ipsa,Fashion,Budget,Apple,60654
559,Dolore,Fashion,Budget,Samsung,45508
560,Minus,Beauty,Standard,Samsung,14709
561,Eum,Fashion,Budget,Tata,13585
562,Dolor,Beauty,Standard,Puma,13289
563,Repellendus,Fashion,Premium,Tata,1577
564,Recusandae,Home & Kitchen,Standard,Puma,39536
565,Doloribus,Sports,Standard,Tata,50906
566,Dicta,Home & Kitchen,Budget,Apple,22972
567,Porro,Beauty,Budget,Apple,425
568,Eius,Grocery,Standard,Puma,74798
569,Iusto,Beauty,Budget,Reliance,51879
570,Repellat,Electronics,Premium,Reliance,17363
571,Sequi,Electronics,Standard,Tata,47127
572,Repellat,Beauty,Premium,Tata,12122
573,Nisi,Sports,Budget,Nike,28995
574,Maxime,Beauty,Budget,Samsung,55778
575,Provident,Grocery,Premium,Samsung,79699
576,Magnam,Fashion,Premium,Samsung,29731
577,Est,Sports,Premium,Puma,51291
578,Deserunt,Home & Kitchen,Premium,Tata,60500
579,Velit,Fashion,Premium,Reliance,693
580,Accusamus,Beauty,Premium,Samsung,12175
581,Maxime,Home & Kitchen,Premium,Puma,15723
582,Ducimus,Home & Kitchen,Premium,Nike,35125
583,Neque,Beauty,Budget,Apple,9771
584,Voluptatem,Home & Kitchen,Premium,Reliance,16272
585,Excepturi,Fashion,Premium,Samsung,46974
586,Fugit,Home & Kitchen,Standard,Apple,18900
587,Beatae,Fashion,Premium,Apple,40502
588,Quis,Sports,Standard,Samsung,39958
